"Time (Epoch, UTC)"	N1 (cm-3)	N2	N3	N4	Dp1 (um)	Dp2	Dp3	Dp4	SD1	SD2	SD3	SD4
1657904253	1359.6				0.02296				1.17			
1657904443	1355.7				0.02333				1.17			
1657904632	1444.7				0.02393				1.16			
1657904822	1419				0.02434				1.17			
1657905012	1341.4				0.02507				1.16			
1657905202	1226.2				0.02557				1.15			
1657905392	1240.7				0.02609				1.15			
1657905582	1284				0.02649				1.16			
1657905772	1103				0.02753				1.13			
1657908050	1059.1				0.03338				1.13			
1657908540	926.4				0.04627				1.13			
1657908750	957.4				0.04685				1.13			
1657908960	819.9				0.04762				1.11			
1657909170	780.9				0.04803				1.11			
1657909379	777.8				0.04836				1.11			
1657909589	753.4				0.04843				1.11			
1657911897	548.5				0.04945				1.11			
1657912107	540.8				0.04999				1.11			
1657912317	545.1				0.05036				1.11			
1657912527	524				0.05076				1.11			
1657912737	516.4				0.05072				1.11			
1657912947	478.6				0.05113				1.11			
1657913157	458.6				0.05088				1.11			
1657913366	440.1				0.05095				1.11			
1657996163	6590.1				0.02128				1.24			
1657996373	6585.6				0.02199				1.23			
1657996583	6414.8				0.02261				1.22			
1657996793	6318.4				0.02342				1.21			
1657997003	6313.6				0.02409				1.21			
1657997212	6026.6				0.02502				1.2			
1657997422	5830.5				0.0257				1.19			
1657999716	6443				0.03647				1.15			
1658000136	6369.6				0.0402				1.14			
1658000346	6290.4				0.04193				1.14			
1658000556	6256				0.04413				1.13			
1658000765	7189.1				0.04556				1.15			
1658000975	7218.8				0.04762				1.16			
1658001185	6391.6				0.04909				1.13			
1658003494	4959.9				0.05721				1.12			
1658003704	5091.5				0.05765				1.13			
1658004543	4262.4				0.05976				1.12			
1658004753	4294.2				0.05999				1.13			
1658004963	4105.8				0.06019				1.13			
1658007482	2660.8				0.06428				1.11			
1658007692	2547.9				0.0645				1.11			
1658007901	2478.6				0.06459				1.11			
1658008111	2333.5				0.06482				1.11			
1658008321	2246.2				0.06473				1.11			
1658008531	2180.3				0.06492				1.11			
1658008741	2072.5				0.06492				1.11			
1658008951	1988.5				0.065				1.11			
1658011260	1691				0.06562				1.12			
1658011470	1588.6				0.06567				1.12			
1658011680	1542				0.06547				1.12			
1658012520	1402.8				0.06582				1.12			
1658012729	1350				0.06598				1.12			
1658015038	820.2				0.06672				1.11			
1658015248	701.3				0.06736				1.1			
1658015458	675.9				0.06709				1.1			
1658015668	662.2				0.06739				1.1			
1658015878	648.5				0.06728				1.1			
1658016088	652.9				0.0669				1.11			
1658016298	563.9				0.06726				1.1			
1658016508	664.5				0.06593				1.12			
1658018816	386.6				0.06732				1.1			
1658019026	394.5				0.06685				1.11			
