time,base_time,time_offset,year,month,day,hour,minute,second,pbl_height_heffter,qc_pbl_height_heffter,pbl_regime_type_liu_liang,qc_pbl_regime_type_liu_liang,pbl_height_liu_liang,qc_pbl_height_liu_liang,pbl_height_bulk_richardson_pt25,qc_pbl_height_bulk_richardson_pt25,pbl_height_bulk_richardson_pt5,qc_pbl_height_bulk_richardson_pt5,lat,lon,alt
"('19620.0',)",1451606400,19620.0,2016,1,1,5,27,3.755092546908756e-05,393.29998779296875,0,1.0,0,662.8499755859375,0,374.90289306640625,0,432.5160217285156,0,36.60499954223633,-97.48500061035156,318.0
"('41160.0',)",1451606400,41160.0,2016,1,1,11,26,4.1127206640290126e-05,395.0,0,1.0,0,543.2999877929688,0,392.07305908203125,0,437.7280578613281,0,36.60499954223633,-97.48500061035156,318.0
"('63000.0',)",1451606400,63000.0,2016,1,1,17,30,2.6822087051403543e-05,617.5,0,0.0,0,570.0,0,383.7994689941406,0,452.59893798828125,0,36.60499954223633,-97.48500061035156,318.0
"('84600.0',)",1451606400,84600.0,2016,1,1,23,30,2.6822087051403543e-05,341.0,0,0.0,0,842.0999755859375,0,329.13043212890625,0,351.9943542480469,0,36.60499954223633,-97.48500061035156,318.0
"('105960.0',)",1451606400,105960.0,2016,1,2,5,26,4.112720424220839e-05,371.6000061035156,0,1.0,0,434.8999938964844,0,384.8924255371094,0,481.0633544921875,0,36.60499954223633,-97.48500061035156,318.0
"('127620.0',)",1451606400,127620.0,2016,1,2,11,27,3.755092786716929e-05,354.70001220703125,0,1.0,0,519.5,0,427.9346923828125,0,555.8431396484375,0,36.60499954223633,-97.48500061035156,318.0
"('257340.0',)",1451606400,257340.0,2016,1,3,23,29,3.039836552476416e-05,343.0,0,0.0,0,728.5999755859375,0,371.3260803222656,0,489.060302734375,0,36.60499954223633,-97.48500061035156,318.0
"('279060.0',)",1451606400,279060.0,2016,1,4,5,31,6.347894589975311e-05,360.29998779296875,0,1.0,0,340.54998779296875,0,372.80426025390625,0,454.2817077636719,0,36.60499954223633,-97.48500061035156,318.0
"('408480.0',)",1451606400,408480.0,2016,1,5,17,28,3.397464429788499e-05,720.2999877929688,0,0.0,0,720.2999877929688,0,730.3851928710938,0,833.4073486328125,0,36.60499954223633,-97.48500061035156,318.0
"('429900.0',)",1451606400,429900.0,2016,1,5,23,25,4.4703480317487276e-05,1039.300048828125,0,0.0,0,474.1000061035156,0,630.4342041015625,0,948.3544921875,0,36.60499954223633,-97.48500061035156,318.0
"('451920.0',)",1451606400,451920.0,2016,1,6,5,32,5.990266712663228e-05,805.5999755859375,0,0.0,0,538.9000244140625,0,831.3582153320312,0,956.468017578125,0,36.60499954223633,-97.48500061035156,318.0
"('473400.0',)",1451606400,473400.0,2016,1,6,11,30,2.682209184756701e-05,777.0,0,0.0,0,521.7000122070312,0,883.4655151367188,0,988.6550903320312,0,36.60499954223633,-97.48500061035156,318.0
"('494820.0',)",1451606400,494820.0,2016,1,6,17,27,3.7550923071005826e-05,908.4000244140625,0,0.0,0,780.0,0,976.0138549804688,0,1124.6051025390625,0,36.60499954223633,-97.48500061035156,318.0
"('516360.0',)",1451606400,516360.0,2016,1,6,23,26,4.112720184412666e-05,754.2999877929688,0,0.0,0,539.7000122070312,0,825.2153930664062,0,1055.7564697265625,0,36.60499954223633,-97.48500061035156,318.0
"('538260.0',)",1451606400,538260.0,2016,1,7,5,31,6.347894589975311e-05,742.2000122070312,0,0.0,0,487.20001220703125,0,762.7501220703125,0,845.49560546875,0,36.60499954223633,-97.48500061035156,318.0
"('559860.0',)",1451606400,559860.0,2016,1,7,11,31,6.347894829783485e-05,856.7999877929688,0,0.0,0,503.5,0,586.3208618164062,0,875.6695556640625,0,36.60499954223633,-97.48500061035156,318.0
"('581220.0',)",1451606400,581220.0,2016,1,7,17,27,3.7550923071005826e-05,1015.5999755859375,0,0.0,0,526.9000244140625,0,619.1837768554688,0,897.56298828125,0,36.60499954223633,-97.48500061035156,318.0
"('603060.0',)",1451606400,603060.0,2016,1,7,23,31,6.347894350167138e-05,3189.10009765625,0,1.0,0,905.7999877929688,0,549.1240234375,0,891.1910400390625,0,36.60499954223633,-97.48500061035156,318.0
"('624660.0',)",1451606400,624660.0,2016,1,8,5,31,6.347894589975311e-05,468.70001220703125,0,1.0,0,492.5500183105469,0,543.0867919921875,0,750.086669921875,0,36.60499954223633,-97.48500061035156,318.0
"('646500.0',)",1451606400,646500.0,2016,1,8,11,35,4.917383350511173e-05,1108.0999755859375,0,0.0,0,749.7000122070312,0,764.833740234375,0,960.472900390625,0,36.60499954223633,-97.48500061035156,318.0
"('667680.0',)",1451606400,667680.0,2016,1,8,17,28,3.397464429788499e-05,1081.5999755859375,0,0.0,0,993.0999755859375,0,821.761962890625,0,945.7476806640625,0,36.60499954223633,-97.48500061035156,318.0
"('689340.0',)",1451606400,689340.0,2016,1,8,23,29,3.039836552476416e-05,1172.5999755859375,0,0.0,0,1038.5999755859375,0,1083.694580078125,0,1115.7103271484375,0,36.60499954223633,-97.48500061035156,318.0
"('710760.0',)",1451606400,710760.0,2016,1,9,5,26,4.112720424220839e-05,1180.199951171875,0,0.0,0,922.0999755859375,0,950.1564331054688,0,1046.8624267578125,0,36.60499954223633,-97.48500061035156,318.0
"('732300.0',)",1451606400,732300.0,2016,1,9,11,25,4.470348511365074e-05,1142.800048828125,0,0.0,0,880.0,0,1004.6925659179688,0,1070.2943115234375,0,36.60499954223633,-97.48500061035156,318.0
"('754440.0',)",1451606400,754440.0,2016,1,9,17,34,5.27501074820691e-05,1295.5999755859375,0,0.0,0,1255.0999755859375,0,1299.098876953125,0,1360.6519775390625,0,36.60499954223633,-97.48500061035156,318.0
"('775800.0',)",1451606400,775800.0,2016,1,9,23,30,2.6822087051403543e-05,1353.0,0,0.0,0,1178.0,0,1246.7496337890625,0,1332.899658203125,0,36.60499954223633,-97.48500061035156,318.0
"('797280.0',)",1451606400,797280.0,2016,1,10,5,28,3.3974646695966726e-05,899.4000244140625,0,0.0,0,899.4000244140625,0,874.0178833007812,0,906.8213500976562,0,36.60499954223633,-97.48500061035156,318.0
"('818880.0',)",1451606400,818880.0,2016,1,10,11,28,3.397464909404846e-05,855.5999755859375,0,0.0,0,820.2000122070312,0,833.5726318359375,0,864.8212280273438,0,36.60499954223633,-97.48500061035156,318.0
"('841320.0',)",1451606400,841320.0,2016,1,10,17,42,6.437301312001154e-05,922.0,0,0.0,0,886.5,0,417.77203369140625,0,520.5440673828125,0,36.60499954223633,-97.48500061035156,318.0
"('862020.0',)",1451606400,862020.0,2016,1,10,23,27,3.7550923071005826e-05,953.4000244140625,0,0.0,0,694.2999877929688,0,363.2047424316406,0,452.4922790527344,0,36.60499954223633,-97.48500061035156,318.0
"('883800.0',)",1451606400,883800.0,2016,1,11,5,30,2.6822089449485276e-05,436.8999938964844,0,1.0,0,375.3500061035156,0,519.9226684570312,0,643.4844970703125,0,36.60499954223633,-97.48500061035156,318.0
"('905400.0',)",1451606400,905400.0,2016,1,11,11,30,2.682209184756701e-05,375.8999938964844,0,1.0,0,440.9000244140625,0,519.4794311523438,0,611.8634033203125,0,36.60499954223633,-97.48500061035156,318.0
"('927000.0',)",1451606400,927000.0,2016,1,11,17,30,2.6822087051403543e-05,799.9000244140625,0,0.0,0,706.7000122070312,0,749.9261474609375,0,943.3353271484375,0,36.60499954223633,-97.48500061035156,318.0
"('948660.0',)",1451606400,948660.0,2016,1,11,23,31,6.347894350167138e-05,361.70001220703125,0,0.0,0,1618.300048828125,0,336.6813049316406,0,358.36260986328125,0,36.60499954223633,-97.48500061035156,318.0
"('970140.0',)",1451606400,970140.0,2016,1,12,5,29,3.0398367922845893e-05,372.79998779296875,0,1.0,0,475.1500244140625,0,548.5989990234375,0,648.5908203125,0,36.60499954223633,-97.48500061035156,318.0
"('991920.0',)",1451606400,991920.0,2016,1,12,11,32,5.9902669524714014e-05,378.0,0,1.0,0,477.1000061035156,0,404.6728515625,0,454.23028564453125,0,36.60499954223633,-97.48500061035156,318.0
"('1013400.0',)",1451606400,1013400.0,2016,1,12,17,30,2.6822087051403543e-05,797.7999877929688,0,0.0,0,754.0,0,409.3624267578125,0,503.724853515625,0,36.60499954223633,-97.48500061035156,318.0
"('1034700.0',)",1451606400,1034700.0,2016,1,12,23,25,4.4703480317487276e-05,396.3999938964844,0,0.0,0,1005.0,0,342.5007629394531,0,397.3279724121094,0,36.60499954223633,-97.48500061035156,318.0
"('1056720.0',)",1451606400,1056720.0,2016,1,13,5,32,5.990266712663228e-05,359.79998779296875,0,1.0,0,437.3999938964844,0,441.21331787109375,0,499.25689697265625,0,36.60499954223633,-97.48500061035156,318.0
"('1078380.0',)",1451606400,1078380.0,2016,1,13,11,33,5.63263910513534e-05,366.3999938964844,0,1.0,0,387.75,0,347.642822265625,0,380.9576110839844,0,36.60499954223633,-97.48500061035156,318.0
"('1099800.0',)",1451606400,1099800.0,2016,1,13,17,30,2.6822087051403543e-05,664.5999755859375,0,0.0,0,624.2999877929688,0,588.2234497070312,0,617.8037109375,0,36.60499954223633,-97.48500061035156,318.0
"('1122120.0',)",1451606400,1122120.0,2016,1,13,23,42,6.437301312001154e-05,416.3999938964844,0,1.0,0,530.0,0,333.5215148925781,0,361.7479553222656,0,36.60499954223633,-97.48500061035156,318.0
"('1143000.0',)",1451606400,1143000.0,2016,1,14,5,30,2.6822089449485276e-05,353.6000061035156,0,1.0,0,636.9000244140625,0,343.5729675292969,0,389.605712890625,0,36.60499954223633,-97.48500061035156,318.0
"('1164600.0',)",1451606400,1164600.0,2016,1,14,11,30,2.682209184756701e-05,364.5,0,1.0,0,513.9500122070312,0,380.41815185546875,0,454.9438171386719,0,36.60499954223633,-97.48500061035156,318.0
"('1186020.0',)",1451606400,1186020.0,2016,1,14,17,27,3.7550923071005826e-05,739.4000244140625,0,0.0,0,739.4000244140625,0,729.7001953125,0,902.5347290039062,0,36.60499954223633,-97.48500061035156,318.0
"('1207740.0',)",1451606400,1207740.0,2016,1,14,23,29,3.039836552476416e-05,345.20001220703125,0,1.0,0,653.0,0,419.4100646972656,0,740.2781372070312,0,36.60499954223633,-97.48500061035156,318.0
"('1229220.0',)",1451606400,1229220.0,2016,1,15,5,27,3.755092546908756e-05,358.5,0,1.0,0,402.3999938964844,0,457.0452575683594,0,535.4902954101562,0,36.60499954223633,-97.48500061035156,318.0
"('1250760.0',)",1451606400,1250760.0,2016,1,15,11,26,4.1127206640290126e-05,380.3999938964844,0,1.0,0,490.3999938964844,0,664.4260864257812,0,823.2239379882812,0,36.60499954223633,-97.48500061035156,318.0
"('1272360.0',)",1451606400,1272360.0,2016,1,15,17,26,4.112720184412666e-05,1035.0999755859375,0,0.0,0,986.7000122070312,0,1007.424560546875,0,1050.8050537109375,0,36.60499954223633,-97.48500061035156,318.0
"('1294260.0',)",1451606400,1294260.0,2016,1,15,23,31,6.347894350167138e-05,338.0,0,0.0,0,1083.699951171875,0,334.3240051269531,0,522.7509765625,0,36.60499954223633,-97.48500061035156,318.0
"('1315560.0',)",1451606400,1315560.0,2016,1,16,5,26,4.112720424220839e-05,529.7999877929688,0,0.0,0,487.70001220703125,0,504.9083557128906,0,624.2192993164062,0,36.60499954223633,-97.48500061035156,318.0
"('1337160.0',)",1451606400,1337160.0,2016,1,16,11,26,4.1127206640290126e-05,846.5999755859375,0,0.0,0,501.20001220703125,0,483.1119384765625,0,544.940673828125,0,36.60499954223633,-97.48500061035156,318.0
"('1358700.0',)",1451606400,1358700.0,2016,1,16,17,25,4.4703480317487276e-05,834.9000244140625,0,0.0,0,797.9000244140625,0,,2,,2,36.60499954223633,-97.48500061035156,318.0
"('1380600.0',)",1451606400,1380600.0,2016,1,16,23,30,2.6822087051403543e-05,315.0,1,0.0,0,995.2000122070312,0,358.47930908203125,0,450.2554931640625,0,36.60499954223633,-97.48500061035156,318.0
"('1402080.0',)",1451606400,1402080.0,2016,1,17,5,28,3.3974646695966726e-05,359.70001220703125,0,1.0,0,359.70001220703125,0,376.39324951171875,0,429.3202819824219,0,36.60499954223633,-97.48500061035156,318.0
"('1423620.0',)",1451606400,1423620.0,2016,1,17,11,27,3.755092786716929e-05,356.6000061035156,0,1.0,0,378.9000244140625,0,349.411865234375,0,419.45672607421875,0,36.60499954223633,-97.48500061035156,318.0
"('1445160.0',)",1451606400,1445160.0,2016,1,17,17,26,4.112720184412666e-05,1026.9000244140625,0,0.0,0,1026.9000244140625,0,994.7791137695312,0,1001.1384887695312,0,36.60499954223633,-97.48500061035156,318.0
"('1466820.0',)",1451606400,1466820.0,2016,1,17,23,27,3.7550923071005826e-05,995.2000122070312,0,0.0,0,957.0999755859375,0,661.3403930664062,0,957.745849609375,0,36.60499954223633,-97.48500061035156,318.0
"('1488600.0',)",1451606400,1488600.0,2016,1,18,5,30,2.6822089449485276e-05,811.4000244140625,0,0.0,0,770.2000122070312,0,736.4421997070312,0,748.6478881835938,0,36.60499954223633,-97.48500061035156,318.0
"('1510140.0',)",1451606400,1510140.0,2016,1,18,11,29,3.0398370320927626e-05,887.5,0,0.0,0,844.7000122070312,0,772.5695190429688,0,786.1843872070312,0,36.60499954223633,-97.48500061035156,318.0
"('1531620.0',)",1451606400,1531620.0,2016,1,18,17,27,3.7550923071005826e-05,990.4000244140625,0,0.0,0,990.4000244140625,0,945.1243286132812,0,948.5161743164062,0,36.60499954223633,-97.48500061035156,318.0
"('1553340.0',)",1451606400,1553340.0,2016,1,18,23,29,3.039836552476416e-05,1262.4000244140625,0,0.0,0,1039.699951171875,0,1010.9227294921875,0,1061.552978515625,0,36.60499954223633,-97.48500061035156,318.0
"('1574760.0',)",1451606400,1574760.0,2016,1,19,5,26,4.112720424220839e-05,481.79998779296875,0,1.0,0,513.2000122070312,0,594.865478515625,0,903.614013671875,0,36.60499954223633,-97.48500061035156,318.0
"('1596420.0',)",1451606400,1596420.0,2016,1,19,11,27,3.755092786716929e-05,684.4000244140625,0,0.0,0,473.0,0,718.7383422851562,0,913.3541870117188,0,36.60499954223633,-97.48500061035156,318.0
"('1618140.0',)",1451606400,1618140.0,2016,1,19,17,29,3.039836552476416e-05,824.7000122070312,0,0.0,0,702.4000244140625,0,734.080322265625,0,848.5570678710938,0,36.60499954223633,-97.48500061035156,318.0
"('1639620.0',)",1451606400,1639620.0,2016,1,19,23,27,3.7550923071005826e-05,1290.699951171875,0,0.0,0,718.7000122070312,0,837.7843627929688,0,959.2858276367188,0,36.60499954223633,-97.48500061035156,318.0
"('1661400.0',)",1451606400,1661400.0,2016,1,20,5,30,2.6822089449485276e-05,951.2000122070312,0,0.0,0,824.2999877929688,0,599.9131469726562,0,797.1502075195312,0,36.60499954223633,-97.48500061035156,318.0
"('1683000.0',)",1451606400,1683000.0,2016,1,20,11,30,2.682209184756701e-05,716.0999755859375,0,0.0,0,716.0999755859375,0,609.401123046875,0,593.6336059570312,0,36.60499954223633,-97.48500061035156,318.0
"('1704660.0',)",1451606400,1704660.0,2016,1,20,17,31,6.347894350167138e-05,850.0999755859375,0,0.0,0,799.5,0,685.5966796875,0,801.103271484375,0,36.60499954223633,-97.48500061035156,318.0
"('1726020.0',)",1451606400,1726020.0,2016,1,20,23,27,3.7550923071005826e-05,846.4000244140625,0,0.0,0,754.7999877929688,0,802.738525390625,0,843.4801635742188,0,36.60499954223633,-97.48500061035156,318.0
